iter,view_total,view_num,spin_total,spin_num,time,memory
1,25,25,25,0,1716654192807,57371240
1,25,25,25,1,1716654192808,57371240
1,25,25,25,2,1716654192808,57371240
1,25,25,25,3,1716654192808,57371240
1,25,25,25,4,1716654192808,57371240
1,25,25,25,5,1716654192808,57371240
1,25,25,25,6,1716654192808,57371240
1,25,25,25,7,1716654192808,57371240
1,25,25,25,8,1716654192808,57371240
1,25,25,25,9,1716654192808,57371240
1,25,25,25,10,1716654192808,57371240
1,25,25,25,11,1716654192808,57371240
1,25,25,25,12,1716654192808,57371240
1,25,25,25,13,1716654192808,57371240
1,25,25,25,14,1716654192808,57371240
1,25,25,25,15,1716654192808,57371240
1,25,25,25,16,1716654192808,57371240
1,25,25,25,17,1716654192808,57371240
1,25,25,25,18,1716654192808,57371240
1,25,25,25,19,1716654192808,57371240
1,25,25,25,20,1716654192808,57371240
1,25,25,25,21,1716654192808,57371240
1,25,25,25,22,1716654192808,57371240
1,25,25,25,23,1716654192808,57371240
1,25,25,25,24,1716654192808,57371240
1,25,25,50,0,1716654194100,88005736
1,25,25,50,1,1716654194100,88005736
1,25,25,50,2,1716654194100,88005736
1,25,25,50,3,1716654194100,88005736
1,25,25,50,4,1716654194100,88005736
1,25,25,50,5,1716654194100,88005736
1,25,25,50,6,1716654194100,88005736
1,25,25,50,7,1716654194100,88005736
1,25,25,50,8,1716654194100,88005736
1,25,25,50,9,1716654194100,88005736
1,25,25,50,10,1716654194100,88005736
1,25,25,50,11,1716654194100,88005736
1,25,25,50,12,1716654194100,88005736
1,25,25,50,13,1716654194100,88005736
1,25,25,50,14,1716654194100,88005736
1,25,25,50,15,1716654194100,88005736
1,25,25,50,16,1716654194100,88005736
1,25,25,50,17,1716654194100,88005736
1,25,25,50,18,1716654194100,88005736
1,25,25,50,19,1716654194100,88005736
1,25,25,50,20,1716654194100,88005736
1,25,25,50,21,1716654194100,88005736
1,25,25,50,22,1716654194100,88005736
1,25,25,50,23,1716654194100,88005736
1,25,25,50,24,1716654194100,88005736
1,25,25,50,25,1716654194100,88005736
1,25,25,50,26,1716654194100,88005736
1,25,25,50,27,1716654194100,88005736
1,25,25,50,28,1716654194100,88005736
1,25,25,50,29,1716654194100,88005736
1,25,25,50,30,1716654194100,88005736
1,25,25,50,31,1716654194100,88005736
1,25,25,50,32,1716654194100,88005736
1,25,25,50,33,1716654194100,88005736
1,25,25,50,34,1716654194100,88005736
1,25,25,50,35,1716654194100,88005736
1,25,25,50,36,1716654194100,88005736
1,25,25,50,37,1716654194100,88005736
1,25,25,50,38,1716654194100,88005736
1,25,25,50,39,1716654194100,88005736
1,25,25,50,40,1716654194100,88005736
1,25,25,50,41,1716654194100,89053424
1,25,25,50,42,1716654194100,89053424
1,25,25,50,43,1716654194100,89053424
1,25,25,50,44,1716654194100,89053424
1,25,25,50,45,1716654194100,89053424
1,25,25,50,46,1716654194100,89053424
1,25,25,50,47,1716654194100,89053424
1,25,25,50,48,1716654194100,89053424
1,25,25,50,49,1716654194100,89053424
1,25,25,75,0,1716654195343,73983200
1,25,25,75,1,1716654195343,73983200
1,25,25,75,2,1716654195343,73983200
1,25,25,75,3,1716654195343,73983200
1,25,25,75,4,1716654195343,73983200
1,25,25,75,5,1716654195343,73983200
1,25,25,75,6,1716654195343,73983200
1,25,25,75,7,1716654195343,73983200
1,25,25,75,8,1716654195343,73983200
1,25,25,75,9,1716654195343,73983200
1,25,25,75,10,1716654195343,73983200
1,25,25,75,11,1716654195343,73983200
1,25,25,75,12,1716654195343,73983200
1,25,25,75,13,1716654195343,73983200
1,25,25,75,14,1716654195343,73983200
1,25,25,75,15,1716654195343,73983200
1,25,25,75,16,1716654195343,73983200
1,25,25,75,17,1716654195343,73983200
1,25,25,75,18,1716654195343,73983200
1,25,25,75,19,1716654195343,73983200
1,25,25,75,20,1716654195344,73983200
1,25,25,75,21,1716654195344,73983200
1,25,25,75,22,1716654195344,73983200
1,25,25,75,23,1716654195344,73983200
1,25,25,75,24,1716654195344,73983200
1,25,25,75,25,1716654195344,73983200
1,25,25,75,26,1716654195344,73983200
1,25,25,75,27,1716654195344,73983200
1,25,25,75,28,1716654195344,73983200
1,25,25,75,29,1716654195344,73983200
1,25,25,75,30,1716654195344,73983200
1,25,25,75,31,1716654195344,73983200
1,25,25,75,32,1716654195344,73983200
1,25,25,75,33,1716654195344,74486984
1,25,25,75,34,1716654195344,74486984
1,25,25,75,35,1716654195344,74486984
1,25,25,75,36,1716654195344,74486984
1,25,25,75,37,1716654195344,74486984
1,25,25,75,38,1716654195344,74486984
1,25,25,75,39,1716654195344,74486984
1,25,25,75,40,1716654195344,74486984
1,25,25,75,41,1716654195344,74486984
1,25,25,75,42,1716654195344,74486984
1,25,25,75,43,1716654195344,74486984
1,25,25,75,44,1716654195344,74486984
1,25,25,75,45,1716654195344,74486984
1,25,25,75,46,1716654195344,74486984
1,25,25,75,47,1716654195344,74486984
1,25,25,75,48,1716654195344,74486984
1,25,25,75,49,1716654195344,74486984
1,25,25,75,50,1716654195344,74486984
1,25,25,75,51,1716654195344,74486984
1,25,25,75,52,1716654195344,74486984
